"","N","DE","P.DE","FDR"
"GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN",335,108,0,0
"BLALOCK_ALZHEIMERS_DISEASE_UP",1691,351,0,0
"RICKMAN_METASTASIS_DN",261,79,5.56509501690149e-08,8.76502465161985e-05
"MILI_PSEUDOPODIA_HAPTOTAXIS_DN",668,155,9.90111717925448e-08,0.000116956946679943
"GROSS_HYPOXIA_VIA_ELK3_UP",209,63,1.31683903458009e-07,0.000124441288767819
"NIKOLSKY_BREAST_CANCER_7P22_AMPLICON",38,24,2.80626254379016e-07,0.000220993175323475
"MILI_PSEUDOPODIA_CHEMOTAXIS_DN",457,113,8.30648994075952e-07,0.000560688071001267
"DELACROIX_RARG_BOUND_MEF",367,96,4.12217969946969e-06,0.00204501952440375
"LOPEZ_MBD_TARGETS",957,181,4.23654190892208e-06,0.00204501952440375
"PID_ECADHERIN_KERATINOCYTE_PATHWAY",21,13,4.32808364953174e-06,0.00204501952440375
