"","N","DE","P.DE","FDR"
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP",450,59,1.00126996762637e-05,0.047310005970346
"LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN",800,81,3.37548559371553e-05,0.0515632511093178
"CHANG_CORE_SERUM_RESPONSE_DN",209,32,3.9181221889638e-05,0.0515632511093178
"STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP",195,36,4.58546872187689e-05,0.0515632511093178
"BIOCARTA_PTDINS_PATHWAY",23,8,6.51089996590526e-05,0.0515632511093178
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5",482,60,6.54771442658004e-05,0.0515632511093178
"PID_VEGFR1_2_PATHWAY",69,16,9.8208136540088e-05,0.0521336919002358
"FORTSCHEGGER_PHF8_TARGETS_DN",784,80,0.000105335317080195,0.0521336919002358
"RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN",805,88,0.000105914298282455,0.0521336919002358
"BIOCARTA_LONGEVITY_PATHWAY",15,6,0.000110335855873515,0.0521336919002358
