"","Term","Ont","N","DE","P.DE","FDR"
"GO:0031981","nuclear lumen","CC",3317,263,2.02119825293099e-05,0.293608784508765
"GO:1900040","regulation of interleukin-2 secretion","BP",8,6,3.3706900111354e-05,0.293608784508765
"GO:0001067","regulatory region nucleic acid binding","MF",784,103,5.68625962817429e-05,0.293608784508765
"GO:0044428","nuclear part","CC",3663,285,6.1615659721838e-05,0.293608784508765
"GO:0000975","regulatory region DNA binding","MF",783,102,8.35395376789578e-05,0.293608784508765
"GO:0070970","interleukin-2 secretion","BP",10,6,9.00204040522689e-05,0.293608784508765
"GO:0044877","macromolecular complex binding","MF",1183,131,9.91007251212661e-05,0.293608784508765
"GO:0044212","transcription regulatory region DNA binding","MF",780,101,0.000112010981214598,0.293608784508765
"GO:0019901","protein kinase binding","MF",506,66,0.000180045458729841,0.419505918840529
"GO:0003682","chromatin binding","MF",440,58,0.000209539899874037,0.439405170035857
