"","N","DE","P.DE","FDR"
"GOZGIT_ESR1_TARGETS_DN",781,36,5.26596338276729e-06,0.011334276187983
"SMID_BREAST_CANCER_BASAL_DN",701,34,5.8867760522215e-06,0.011334276187983
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP",450,24,7.19636583363998e-06,0.011334276187983
"VANTVEER_BREAST_CANCER_ESR1_UP",167,13,1.40363853373996e-05,0.0140877421153052
"LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN",114,10,1.63829648076731e-05,0.0140877421153052
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN",84,9,1.78891963368956e-05,0.0140877421153052
"SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN",428,26,2.22807213740284e-05,0.0150394869274692
"CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP",380,21,3.38638198811668e-05,0.0195923239782294
"RICKMAN_HEAD_AND_NECK_CANCER_D",37,5,3.9270788550416e-05,0.0195923239782294
"TAVAZOIE_METASTASIS",108,9,4.14652359327607e-05,0.0195923239782294
"LEE_LIVER_CANCER_DENA_DN",74,7,5.06453083994145e-05,0.0201303126353905
"FIRESTEIN_CTNNB1_PATHWAY",33,5,5.1124603518452e-05,0.0201303126353905
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_UP",11,3,5.62413414598043e-05,0.0204415644921212
"KANG_GIST_WITH_PDGFRA_UP",50,6,0.000126177096603188,0.0425847701035761
"GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN",206,11,0.00017081423464791,0.0538064839140916
"WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP",137,9,0.000198502638338625,0.0563543859054198
"REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS",10,2,0.00020869331342504,0.0563543859054198
"TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_DN",7,2,0.00021468337487779,0.0563543859054198
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5",482,22,0.000236006716135359,0.05869114388103
"MIKKELSEN_MCV6_ICP_WITH_H3K4ME3_AND_H3K27ME3",34,5,0.000264302923009186,0.0624415655609201
