"","N","DE","P.DE","FDR"
"DACOSTA_UV_RESPONSE_VIA_ERCC3_DN",855,108,0,0
"DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN",483,63,4.02210003406707e-11,9.50221133048344e-08
"SMID_BREAST_CANCER_BASAL_DN",701,75,7.56323880956666e-09,1.19121011250675e-05
"RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN",805,78,1.15849508581442e-08,1.36847232011829e-05
"BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN",88,22,2.30178239288177e-08,2.17518436127327e-05
"VANTVEER_BREAST_CANCER_ESR1_UP",167,27,5.09396507255605e-08,4.01149749463789e-05
"CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP",380,46,8.88050279921691e-08,5.99433938947142e-05
"CUI_TCF21_TARGETS_2_DN",830,83,1.92490306192683e-07,0.000113689587095053
"WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP",137,21,2.52705426655953e-07,0.000132670348994375
"TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_DN",321,41,4.13277472038496e-07,0.000195273605538189
"BHAT_ESR1_TARGETS_VIA_AKT1_DN",82,18,6.88010707778971e-07,0.000295531872205058
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5",482,49,2.52522073045571e-06,0.000877422889542845
"MARTINEZ_RESPONSE_TO_TRABECTEDIN",50,14,2.56192530398134e-06,0.000877422889542845
"ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_DN",52,13,2.8920537886621e-06,0.000877422889542845
"YANG_BREAST_CANCER_ESR1_UP",36,11,2.92281973963949e-06,0.000877422889542845
"SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN",85,16,2.97116745665302e-06,0.000877422889542845
"GOZGIT_ESR1_TARGETS_DN",781,70,5.34357096555288e-06,0.00148519840071985
"ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP",485,47,5.85327463113063e-06,0.00153648459067179
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3",720,60,2.10280157512256e-05,0.00522933549602846
"TSENG_IRS1_TARGETS_DN",135,19,4.2288729418682e-05,0.00999071232516362
