"","N","DE","P.DE","FDR"
"REACTOME_OLFACTORY_SIGNALING_PATHWAY",328,14,5.355147464742e-13,2.53030717709059e-09
"KEGG_OLFACTORY_TRANSDUCTION",389,14,4.03848111895294e-11,9.54091164352631e-08
"ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN",940,24,3.66775073543203e-07,0.000577670740830544
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3",196,9,5.38193187883869e-06,0.00579831000187911
"REACTOME_GPCR_DOWNSTREAM_SIGNALING",805,18,6.13577777976625e-06,0.00579831000187911
"HEIDENBLAD_AMPLIFIED_IN_BONE_CANCER",7,2,3.11886888018253e-05,0.0240063789090454
"ZEMBUTSU_SENSITIVITY_TO_VINBLASTINE",18,3,3.55650057911784e-05,0.0240063789090454
"WEBER_METHYLATED_HCP_IN_SPERM_DN",28,3,6.62532001506753e-05,0.0374089072988812
"REACTOME_SIGNALING_BY_GPCR",920,18,7.12550615216784e-05,0.0374089072988812
"BIOCARTA_CFTR_PATHWAY",12,2,0.000239692750005247,0.112347073550272
"REACTOME_SIGNALING_BY_FGFR1_MUTANTS",30,3,0.000273655622096477,0.112347073550272
"REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1",11,2,0.000301903809224927,0.112347073550272
"REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION",12,1,0.000309103059503393,0.112347073550272
"BERGER_MBD2_TARGETS",7,1,0.000373337343051293,0.126001353279812
"MATZUK_SPERMATOZOA",114,5,0.00044048982327166,0.128614266688034
"WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN",42,3,0.000450506773666965,0.128614266688034
"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION",12,2,0.000475532449445476,0.128614266688034
"REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION",12,2,0.000489959111192511,0.128614266688034
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION",14,2,0.000642431563077212,0.153561996572033
"OZANNE_AP1_TARGETS_UP",18,2,0.000649997869087968,0.153561996572033
